id,rle_mask
6d9baf0d42,1 18 102 18 203 19 304 19 405 20 506 20 607 21 708 21 809 22 910 22 1011 22 1112 23 1213 23 1314 23 1415 23 1516 23 1617 23 1718 24 1819 24 1920 24 2021 24 2122 25 2223 25 2324 25 2425 25 2526 26 2627 26 2728 26 2829 27 2930 27 3031 27 3132 28 3233 28 3334 29 3435 30 3536 30 3637 31 3738 31 3839 32 3940 33 4041 34 4142 35 4243 36 4344 36 4445 37 4546 38 4647 39 4748 39 4849 40 4950 41 5051 41 5152 42 5253 42 5354 43 5455 43 5556 44 5657 45 5758 45 5859 46 5960 47 6061 47 6162 47 6263 48 6364 48 6465 49 6566 49 6667 49 6768 50 6869 50 6970 50 7071 51 7172 51 7273 51 7374 51 7475 51 7576 52 7677 52 7778 52 7879 53 7980 53 8081 53 8182 53 8283 53 8384 53 8485 54 8586 54 8687 54 8788 54 8889 54 8990 55 9091 55 9192 55 9293 55 9394 55 9495 56 9596 56 9697 56 9798 56 9899 57 10000 57 10101 57
d9fe7e4fce,4545 1 4645 2 4746 2 4846 3 4946 4 5045 6 5143 9 5242 11 5341 13 5437 18 5534 22 5633 24 5733 25 5832 27 5931 29 6029 32 6129 33 6228 35 6328 36 6427 38 6525 41 6623 44 6719 49 6815 54 6910 60 7007 64 7104 68 7202 71 7299 75 7397 78 7495 81 7593 84 7691 87 7789 90 7885 2317
b31ed95288,1 83 102 83 203 83 304 82 405 82 506 82 607 82 708 82 809 81 910 81 1011 80 1112 79 1213 78 1314 76 1415 74 1516 73 1617 71 1718 70 1819 69 1920 67 2021 66 2122 64 2223 62 2324 60 2425 58 2526 55 2627 52 2728 50 2829 47 2930 43 3031 40 3132 33 3233 25 3334 21 3435 15 3536 9 3637 4
cf8acde8a6,
1e5ae9d2a9,1 2222 2231 93 2335 90 2439 87 2544 83 2648 80 2752 77 2858 72 2963 68 3068 64 3171 62 3274 60 3376 59 3479 57 3582 55 3684 54 3786 53 3888 52 3990 51 4093 49 4195 48 4298 46 4400 45 4502 44 4603 44 4705 43 4807 42 4908 42 5010 41 5112 40 5213 40 5315 39 5417 38 5518 38 5620 37 5721 37 5823 36 5925 35 6027 34 6129 33 6231 32 6333 31 6436 29 6538 28 6640 27 6742 26 6844 25 6947 23 7049 22 7152 20 7255 18 7358 16 7462 13 7565 11 7668 9 7772 6 7876 3
5d9c2a8469,
394070b0b0,1 1717 1722 97 1826 94 1930 91 2034 88 2139 84 2244 80 2348 77 2451 75 2556 71 2660 68 2764 65 2869 61 2973 58 3078 54 3182 51 3286 48 3391 44 3495 41 3599 38 3702 36 3806 33 3908 32 4010 31 4111 31 4212 31 4313 31 4413 32 4514 32 4614 33 4714 34 4813 36 4913 37 5012 39 5112 40 5212 41 5311 43 5411 44 5511 45 5611 46 5712 46 5813 24 5843 16 5915 15 5946 14 6018 5 6050 11 6156 6 6258 5 6360 4 6462 3 6565 1
f5ffdccdcd,50 52 152 51 254 50 356 49 459 47 559 48 660 48 763 46 864 46 966 45 1067 45 1168 45 1272 42 1373 42 1472 44 1573 1 1575 42 1678 40 1780 39 1882 38 1983 38 2086 36 2187 36 2290 11 2302 1 2306 3 2310 14 2393 7 2412 13 2514 12 2615 7 2623 4 2717 1 2725 3 2817 3 2827 1 2918 2 3020 1 3137 15 3236 25 3336 29 3436 31 3537 32 3637 34 3738 34 3839 35 3940 37 4041 38 4142 54 4243 60 4344 62 4445 63 4546 64 4647 65 4748 67 4819 7 4849 79 4950 80 5051 81 5152 82 5253 82 5354 82 5455 81 5556 81 5657 81 5758 81 5859 81 5960 81 6061 81 6162 82 6263 82 6364 83 6465 82 6566 82 6667 82 6768 48 6817 33 6851 3 6869 46 6922 29 6952 3 6970 45 7024 28 7071 44 7127 25 7161 2 7172 15 7193 23 7229 25 7255 5 7261 4 7276 2 7297 20 7330 25 7356 5 7362 4 7398 21 7431 25 7460 1 7464 2 7500 21 7533 23 7565 2 7601 22 7633 25 7666 4 7703 24 7732 27 7767 4 7804 56 7868 4 7906 54 7969 4 8007 55 8070 4 8108 55 8171 2 8208 56 8309 55 8409 57 8510 56 8611 56 8712 56 8813 55 8914 54 9015 56 9116 55 9217 54 9318 54 9419 55 9520 56 9603 72 9702 73 9802 74 9902 75 10003 74 10103 72
359e6a043b,4849 4 4950 7 5051 11 5152 15 5253 21 5354 33 5455 36 5556 41 5657 45 5758 49 5859 52 5960 55 6061 58 6162 61 6263 62 6364 63 6465 65 6566 66 6667 67 6768 67 6869 67 6970 68 7071 69 7172 70 7273 71 7374 73 7475 74 7576 76 7677 78 7778 80 7879 83 7980 86 8081 90 8182 95 8283 1919
75a285c615,1 3737 3741 98 3845 95 3950 91 4054 88 4159 84 4263 81 4367 78 4471 75 4576 71 4680 68 4784 65 4888 62 4993 58 5097 55 5202 51 5306 48 5410 45 5513 43 5615 42 5717 41 5819 40 5921 39 6023 38 6125 37 6226 37 6328 36 6429 36 6531 35 6632 35 6734 34 6835 34 6936 34 7038 33 7140 32 7242 31 7346 28 7449 26 7552 24 7656 21 7762 16 7865 14 7968 12 8071 10 8173 9 8275 8 8378 6 8481 4 8584 2
