language,top_word,top_letter,top_letters,top_l,punct,average_len,num_of_uniq,upper,apost,y, doubles,lh,i,z
en,the,e,th,the,3.94,108.48,23,0.18,1,0,0,0.0,0.0,0
en,the,e,th,the,4.02,137.03,22,0.34,0,0,-5.52,0.0,0.0,0
en,the,e,he,the,3.26,85.18,20,0.11,1,0,-5.69,0.0,0.0,0
en,to,e,in,the,3.78,74.62,22,0.1,1,0,-5.51,0.0,0.0,0
en,the,e,an,the,3.83,152.52,22,0.19,0,0,-5.62,0.0,0.0,0
en,the,e,th,the,3.41,139.05,22,0.28,0,0,-5.69,0.0,0.0,0
en,from,e,nd,and,4.2,104.59,22,0.15,1,0,0,0.0,0.0,0
en,to,e,in,ing,3.72,111.57,22,0.3,0,0,0,0.0,0.0,0
en,the,e,in,the,3.54,97.37,22,0.32,1,0,-5.97,0.0,0.0,0
en,and,a,in,ion,3.58,205.23,20,0.07,0,0,0,0.0,0.0,0
ru,не,и,ни,ние,3.61,333.36,39,0.08,0,0,0,0.0,0.0,0
ru,для,о,го,год,3.85,241.64,27,0.2,0,0,0,0.0,0.0,0
ru,где,а,ал,гра,3.67,180.83,25,0.14,0,0,0,0.0,0.0,0
ru,на,о,ск,ско,3.58,272.59,29,0.17,0,0,0,0.0,0.0,0
ru,году,о,ра,год,3.65,171.98,30,0.16,0,0,0,0.0,0.0,0
ru,на,о,ом,аль,3.72,184.13,32,0.19,0,0,0,0.0,0.0,0
ru,на,о,но,ост,3.73,256.79,30,0.13,0,0,0,0.0,0.0,0
ru,эти,о,ов,ген,3.66,251.15,30,0.1,0,0,0,0.0,0.0,0
ru,по,о,та,ста,4.02,252.64,27,0.14,0,0,0,0.0,0.0,0
ru,зузи,е,ст,ств,4.08,292.17,27,0.14,0,0,0,0.0,0.0,0
cz,byla,o,ch,rap,3.97,254.82,31,0.09,0,0,0,0.0,0.0,1
cz,však,a,it,rit,3.83,153.38,31,0.19,0,0,0,0.0,0.0,1
cz,ve,e,il,ilm,4.07,129.36,33,0.26,0,0,0,0.0,0.0,1
cz,se,o,bo,obo,4.24,113.15,33,0.23,0,0,0,0.0,0.0,1
cz,na,o,st,ětl,3.24,166.79,29,0.06,0,0,0,0.0,0.0,1
cz,na,e,li,byl,3.74,133.75,31,0.13,0,0,0,0.0,0.0,1
cz,se,o,en,pro,3.97,207.7,31,0.14,0,0,0,0.0,0.0,1
cz,se,a,ou,vou,3.75,141.05,31,0.17,0,0,0,0.0,0.0,1
cz,jako,o,ní,ove,3.48,173.74,32,0.2,0,0,0,0.0,0.0,1
cz,se,o,po,pol,4.15,187.0,30,0.08,0,0,0,0.0,0.0,1
uk,на,а,на,ent,3.58,223.36,38,0.24,0,0,0,0.0,0.21,0
